iter	Passed	Remaining
0	141	141353
1	141	70852
2	142	47343
3	142	35561
4	143	28499
5	143	23788
6	143	20423
7	144	17900
8	144	15941
9	145	14372
10	145	13089
11	145	12019
12	146	11114
13	146	10341
14	147	9671
15	147	9082
16	148	8562
17	148	8100
18	148	7686
19	149	7313
20	149	6977
21	150	6671
22	150	6392
23	150	6135
24	151	5900
25	151	5683
26	152	5481
27	152	5294
28	152	5119
29	153	4957
30	153	4805
31	154	4661
32	154	4527
33	154	4401
34	155	4282
35	155	4169
36	156	4063
37	156	3962
38	156	3866
39	157	3775
40	157	3689
41	158	3610
42	158	3532
43	159	3456
44	159	3384
45	159	3316
46	160	3250
47	160	3187
48	161	3127
49	161	3069
50	161	3013
51	162	2959
52	162	2908
53	163	2858
54	163	2810
55	163	2764
56	164	2719
57	164	2675
58	165	2634
59	165	2593
60	165	2554
61	166	2516
62	166	2479
63	167	2444
64	167	2409
65	167	2376
66	168	2344
67	168	2310
68	168	2279
69	169	2249
70	169	2220
71	170	2192
72	170	2165
73	170	2138
74	171	2112
75	171	2087
76	172	2062
77	172	2038
78	172	2015
79	173	1992
80	173	1970
81	174	1948
82	174	1927
83	174	1906
84	175	1885
85	175	1865
86	175	1845
87	176	1827
88	176	1808
89	177	1790
90	177	1772
91	177	1755
92	178	1738
93	178	1722
94	179	1706
95	179	1690
96	179	1674
97	180	1659
98	180	1644
99	181	1629
100	181	1614
101	181	1599
102	182	1585
103	182	1571
104	182	1558
105	183	1544
106	183	1531
107	183	1519
108	184	1506
109	184	1494
110	185	1482
111	185	1470
112	185	1459
113	186	1447
114	186	1436
115	187	1425
116	187	1414
117	187	1403
118	188	1392
119	188	1382
120	188	1372
121	189	1362
122	189	1350
123	189	1341
124	190	1332
125	190	1322
126	191	1313
127	191	1303
128	191	1294
129	192	1285
130	192	1277
131	192	1268
132	193	1260
133	193	1251
134	194	1244
135	194	1236
136	195	1228
137	195	1220
138	195	1212
139	196	1204
140	196	1197
141	196	1189
142	197	1182
143	197	1174
144	198	1167
145	198	1160
146	198	1153
147	199	1146
148	199	1139
149	199	1133
150	200	1126
151	200	1119
152	201	1113
153	201	1107
154	201	1100
155	202	1094
156	202	1088
157	203	1082
158	203	1076
159	203	1070
160	204	1064
161	204	1058
162	205	1053
163	205	1047
164	205	1041
165	206	1036
166	206	1030
167	207	1025
168	207	1020
169	207	1014
170	208	1009
171	208	1004
172	209	999
173	209	994
174	209	989
175	210	984
176	210	979
177	210	974
178	211	969
179	211	964
180	211	959
181	212	954
182	212	949
183	213	945
184	213	940
185	213	936
186	214	931
187	214	927
188	215	922
189	215	918
190	215	914
191	216	910
192	216	905
193	217	901
194	217	897
195	217	893
196	218	889
197	218	885
198	218	881
199	219	877
200	219	873
201	220	869
202	220	865
203	220	862
204	221	858
205	221	854
206	222	850
207	222	847
208	222	843
209	223	839
210	223	836
211	224	832
212	224	829
213	224	825
214	225	822
215	225	818
216	225	815
217	226	812
218	226	808
219	227	805
220	227	802
221	227	798
222	228	795
223	228	792
224	229	789
225	229	785
226	229	782
227	230	779
228	230	776
229	231	773
230	231	770
231	231	767
232	232	764
233	232	761
234	232	758
235	233	755
236	233	752
237	234	749
238	234	746
239	234	743
240	235	740
241	235	738
242	236	735
243	236	732
244	236	729
245	237	726
246	237	724
247	237	721
248	238	718
249	238	716
250	239	713
251	239	710
252	239	708
253	240	705
254	240	702
255	241	700
256	241	698
257	241	695
258	242	693
259	242	690
260	242	688
261	243	685
262	243	683
263	244	680
264	244	678
265	244	675
266	245	673
267	245	671
268	246	668
269	246	666
270	246	664
271	247	661
272	247	659
273	247	657
274	248	654
275	248	652
276	249	650
277	249	648
278	249	645
279	250	643
280	250	641
281	251	639
282	251	637
283	251	635
284	252	632
285	252	630
286	253	628
287	253	626
288	253	624
289	254	622
290	254	620
291	255	618
292	255	616
293	255	614
294	256	612
295	256	610
296	256	608
297	257	606
298	257	604
299	258	602
300	258	600
301	258	598
302	259	596
303	259	594
304	260	592
305	260	590
306	260	588
307	261	586
308	261	584
309	261	583
310	262	581
311	262	579
312	263	577
313	263	575
314	263	573
315	264	572
316	264	570
317	265	568
318	265	566
319	265	564
320	266	563
321	266	561
322	266	559
323	267	557
324	267	556
325	268	554
326	268	552
327	268	550
328	269	549
329	269	547
330	270	545
331	270	544
332	270	542
333	271	540
334	271	539
335	272	537
336	272	535
337	272	534
338	273	532
339	273	531
340	274	529
341	274	527
342	274	526
343	275	524
344	275	523
345	275	521
346	276	520
347	276	518
348	277	516
349	277	515
350	277	513
351	278	512
352	278	510
353	278	509
354	279	507
355	279	506
356	280	504
357	280	503
358	280	501
359	281	500
360	281	498
361	282	497
362	282	495
363	282	494
364	283	492
365	283	491
366	284	489
367	284	488
368	284	487
369	285	485
370	285	484
371	285	482
372	286	481
373	286	480
374	287	478
375	287	477
376	287	475
377	288	474
378	288	473
379	289	471
380	289	470
381	289	468
382	290	467
383	290	466
384	291	464
385	291	463
386	291	462
387	292	460
388	292	459
389	293	458
390	293	456
391	293	455
392	294	454
393	294	453
394	294	451
395	295	450
396	295	449
397	296	447
398	296	446
399	296	445
400	297	444
401	297	442
402	298	441
403	298	440
404	298	439
405	299	437
406	299	436
407	300	435
408	300	434
409	300	432
410	301	431
411	301	430
412	301	429
413	302	427
414	302	426
415	303	425
416	303	424
417	303	423
418	304	421
419	304	420
420	305	419
421	305	418
422	305	417
423	306	416
424	306	414
425	307	413
426	307	412
427	307	411
428	308	410
429	308	409
430	308	407
431	309	406
432	309	405
433	310	404
434	310	403
435	310	402
436	311	401
437	312	400
438	312	399
439	312	398
440	313	397
441	313	396
442	314	395
443	314	393
444	314	392
445	315	391
446	315	390
447	316	389
448	316	388
449	316	387
450	317	386
451	317	385
452	318	384
453	318	383
454	318	381
455	319	380
456	319	379
457	320	378
458	320	377
459	320	376
460	321	375
461	321	374
462	321	373
463	322	372
464	322	371
465	323	370
466	323	369
467	323	368
468	324	367
469	324	366
470	324	364
471	325	363
472	325	362
473	326	361
474	326	360
475	326	359
476	327	358
477	327	357
478	328	356
479	328	355
480	328	354
481	329	353
482	329	352
483	330	351
484	330	350
485	330	349
486	331	348
487	331	347
488	331	346
489	332	345
490	332	344
491	333	343
492	333	342
493	333	341
494	334	341
495	334	340
496	335	339
497	335	338
498	335	337
499	336	336
500	336	335
